id,文本,真实类别,预测类别,多预测的类别,少预测的类别
847,如果不是小科比布鲁克斯加盟广东宏远，他们会最终击败新疆男篮夺冠吗？这也是很多球迷在广东宏远夺冠的之后的疑问，对此杜锋也曾经多次给出了解释，他认为布鲁克斯是广东宏远夺冠的关键，但是之前我们也报道过，由于布鲁克斯是半路加盟，他的优先续约权有些复杂，不过现在广东宏远的球迷不用担心了，根据消息源透露，广东宏远目前已经与小科比达成一致，双方也将会在近期完成续约！而另外一名功臣威姆斯目前依旧没有完成续约，不过双方的分歧并不大，相信帮助广东宏远夺冠的两位功臣都将会留队，而广东宏远的下一个目标也非常明确，就是CBA十冠王！,"竞赛行为-夺冠,组织关系-加盟,竞赛行为-胜负",组织关系-加盟,,"竞赛行为-夺冠,竞赛行为-胜负"
850,而在过去的24个小时里，再次传来了三笔签约和一个裁员的消息！,"组织关系-裁员,组织关系-加盟",组织关系-裁员,,组织关系-加盟
873,据俄罗斯卫星网最新报道，印度陆军宣称，当地时间周二，巴基斯坦军队突然在印巴实控线地区挑起冲突，动用了迫击炮和轻武器向印度一侧的哨所和村镇发动袭击，造成了多人伤亡，印军方随后发动了“对等反击”，根据巴基斯坦的说法，印度的军事行动造成了2名巴平民丧生，并谴责印度方面故意挑起争端。,"灾害/意外-袭击,人生-死亡",灾害/意外-袭击,,人生-死亡
889,据人民日报客户端消息，经调查核实，滑坡区域有23 户，涉及27 栋房屋、其中21 栋被埋；23 户共77 人，其中21人在外已取得联系，截止到7月24 日上午11时10 分，搜救出22人（11 人生还，11人死亡），失联34人。,"人生-失联,人生-死亡",人生-失联,,人生-死亡
891,前不久，贵州铜仁一位村民在家附近的江里发现了一具女性尸体，警方到达现场后发现，死者是一名年轻的女性，并且还怀有六七个月的身孕，经过调查发现，死者生前是江苏南通被取保候审的诈骗罪嫌疑人24岁的侯某。,"人生-死亡,人生-怀孕",人生-死亡,,人生-怀孕
894,9死1伤矿难却上报无人伤亡 山西这地原国土局长获刑,"司法行为-入狱,人生-死亡",司法行为-入狱,,人生-死亡
934,官方通报“小学生被同学家长杀害”事发学校校长朱某已被停职检查,"组织关系-停职,人生-死亡",组织关系-停职,,人生-死亡
945,医生为拍合照不去抢救病危老人，致老人含恨离世，医生已被停职！,"组织关系-停职,人生-死亡",组织关系-停职,,人生-死亡
989,6月11日，曹云金在微博上宣布自己和伴侣唐菀离婚了。他们这段婚姻非常短暂，一年半都不到。可以说完全是一场奉子成婚的婚姻，因为在曹云金18年2月公布婚讯后，4月份唐菀就生下了女儿sugar。这让网友一度猜测，没有这个孩子，恐怕曹云金并不想结这个婚吧。,"人生-产子/女,人生-离婚,人生-结婚","人生-产子/女,人生-离婚",,人生-结婚
1017,7月19日，中国足协官方开出多张重磅罚单，其中江苏苏宁队员两名球员因恶意犯规受到追罚，其中叶重秋被追加停赛6场，罚款6万元。在同一场比赛中出场的另一名苏宁球员谢鹏飞也被停赛3场，罚款3万元。,"竞赛行为-禁赛,司法行为-罚款",司法行为-罚款,,竞赛行为-禁赛
1033,北京时间6月14日，NBA2019赛季总决赛G6继续在勇士主场进行。整场比赛看完就两个字“惨烈”，本来勇士没了杜兰特能够打到6G就很不易，结果在第三节还剩2分22秒的时候，汤普森又扭伤膝盖无法上场，勇士全队就只有依赖库里一人。面对猛龙绝对的天赋碾压，库里一人是无力回天。随着他最后关键的三分不进，也直接宣布了勇士的“死刑”。尽管总冠军是猛龙，但是勇士更值得尊敬，他们是“站着死”，被打败但是没有被打倒。,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-胜负,,竞赛行为-夺冠
1037,随着自由市场的热度慢慢开始稳定，下一赛季各支球队的基本阵容都已经确定，在猛龙队夺冠，勇士王朝土崩瓦解后，联盟的不少球队都认为自己夺冠的可能性大大增加，而这个休赛季，也成了最近几年少见的劲爆交易出现，卡哇伊和乔治加盟快船，威少联手哈登，都让下一赛季充满了不确定性，而补强了的火箭和湖人，成为了西部的劲敌，早些时候，火箭总经理莫雷在社交平台发文提到了詹姆斯，意外曝光了詹皇的商业帝国。,"竞赛行为-夺冠,组织关系-加盟",组织关系-加盟,,竞赛行为-夺冠
1046,但在S8夺冠之后宁王却没有兑现诺言，反而是在今年MSI期间宁王与前女友分手，还光速官宣新女友。,"竞赛行为-夺冠,人生-分手",人生-分手,,竞赛行为-夺冠
1080,9月7日12时许，安庆市宜秀区境内行驶中的两辆浙江牌照小轿车发生正面相撞，造成3人死亡、1人重伤，事故原因正在进一步调查中。,"人生-死亡,灾害/意外-车祸",灾害/意外-车祸,,人生-死亡
1092,凌晨4点还接单！51岁外卖骑手车祸身亡，最后时刻挽救四条生命,"人生-死亡,灾害/意外-车祸",人生-死亡,,灾害/意外-车祸
1098,因为一部和梁朝伟合作的电影，让汤唯坐上了“过山车”，一时间名声大振，却因种种原因备受争议，乃至汤唯一度跑去国外躲避清净，随后汤唯结婚生子，沉寂几年后，汤唯靠着《地球最后的夜晚》再次回到荧幕之中，网友惊奇地发现，汤唯竟说着一口流利的英语回归了！,"人生-产子/女,人生-结婚",人生-结婚,,人生-产子/女
1100,我谈了五年的男友，继母拒绝结婚，两年后跟继妹订婚,"人生-订婚,人生-结婚",人生-订婚,,人生-结婚
1121,前女排队长嫁大12岁老外，41岁才生娃，年仅5年近照胖到认不出,"人生-产子/女,人生-结婚",人生-结婚,,人生-产子/女
1131,今年已经41岁的梁静茹和老公赵元在2010年结婚，婚后幸福恩爱，二人共同有一个儿子。本该甜甜蜜蜜的幸福一家，却在上月的中旬梁静茹却道出其实已经签字离婚。,"人生-离婚,人生-结婚",人生-结婚,,人生-离婚
1132,7月16日凌晨，合肥经开区蓬莱花园小区一民房突发起火，一名8旬老人不幸在火海中遇难。,"灾害/意外-起火,人生-死亡",灾害/意外-起火,,人生-死亡
1139,自燃事件后：蔚来大规模“汽车召回”,"灾害/意外-起火,产品行为-召回",产品行为-召回,,灾害/意外-起火
1153,日本知名动画公司「京都动画」（京都アニメーション，又称「京阿尼」）18日上午遭人蓄意纵火，目前为止已造成16人死亡、约10人心肺功能停止，还有近40人轻重伤。,"灾害/意外-起火,人生-死亡",灾害/意外-起火,,人生-死亡
1299,迅速横扫！张本家门口完胜悍将晋级，16强避开国乒但仍遇挑战！,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-晋级,,竞赛行为-胜负
1322,2019美网女单：小威横扫晋级 再冲24冠,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-晋级,,竞赛行为-胜负
1329,美网大满贯暖身的辛辛那提网赛，美国地主女将凯丝（Madison Keys）把握绝对主场优势，7：5、7：6 （7：5）力退俄国老将库兹涅索娃（Svetlana Kuznetsova），笑捧生涯第5座女单冠军，也为美网拼出竞争行情。,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-胜负,,竞赛行为-夺冠
1359,刘诗雯替补0-4惨败出局！国乒小魔王拒绝抢5 两场轰8-0进4强争冠,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-胜负,,竞赛行为-晋级
1419,本届亚锦赛，国乒队彻底打出了无敌姿态，向来被认为是最能够从国乒队嘴里抢肉的日本队，命运那叫一个“可怜”。团体赛，女团不敌新加坡，男团被中国队挡在了冠军之外，眼睁睁地看着中国队喜气洋洋地登上最高领奖台。,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-胜负,,竞赛行为-夺冠
1459,在国乒大部分选手取得晋级资格的情况下，国乒黑马小将再次创造奇迹，继资格战首轮对战日乒老将成功完成让二追四的壮举之后，再一次重现奇迹，同时帮助国乒夺得资格战的9连胜。,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-胜负,,竞赛行为-晋级
1487,2019年6月17日22时55分，四川宜宾市长宁县（北纬28.34度，东经104.90度）发生6.0级地震。截至6月18日15点56分，地震已导致13人死亡，199人受伤。,"灾害/意外-地震,人生-死亡",灾害/意外-地震,,人生-死亡
